sid,dt,p1,p2
2446,2023-10-10 15:00:00,4.708333,0.8666667
2446,2023-10-10 07:00:00,4.821429,0.9285714
2446,2023-09-27 17:00:00,4.7455554,0.8922222
2446,2023-09-21 10:00:00,4.6371427,0.8857143
2446,2023-10-10 12:00:00,4.9225,1.13375
2446,2023-10-09 07:00:00,4.791667,0.89666665
2446,2023-09-19 07:00:00,4.7622223,0.92777777
2446,2023-09-19 13:00:00,4.842857,1.0142857
2446,2023-09-20 17:00:00,4.6666665,0.895
2446,2023-09-26 19:00:00,4.7920003,0.907
2446,2023-09-27 12:00:00,4.5933332,0.8666667
2446,2023-10-05 05:00:00,4.909,0.94299996
2446,2023-10-11 02:00:00,5.05125,1.0275
2446,2023-09-28 04:00:00,4.8075,0.9
2446,2023-10-10 18:00:00,4.76875,0.90749997
2446,2023-09-21 04:00:00,4.75,0.87142855
2446,2023-09-26 08:00:00,4.8275003,0.94624996
2446,2023-09-28 00:00:00,4.875,1.15
2446,2023-09-27 09:00:00,4.744,0.89599997
2446,2023-10-03 22:00:00,4.8353333,0.90133333
2446,2023-10-10 11:00:00,4.77,1.105
2446,2023-09-20 15:00:00,4.542857,0.86142856
2446,2023-09-26 07:00:00,4.779091,0.8954545
2446,2023-09-27 19:00:00,4.7737503,0.895
2446,2023-09-28 08:00:00,4.792857,0.9728572
2446,2023-10-10 17:00:00,4.75625,0.9
2446,2023-09-21 09:00:00,4.708182,0.8909091
2446,2023-10-03 04:00:00,4.824,1.0
2446,2023-10-03 07:00:00,5.0311112,1.2911111
2446,2023-09-21 00:00:00,4.766923,0.93538463
2446,2023-09-20 10:00:00,4.66,0.9
2446,2023-09-27 14:00:00,4.5950003,0.85
2446,2023-10-04 01:00:00,5.55,1.15
2446,2023-09-21 01:00:00,4.8120003,0.96599996
2446,2023-10-05 09:00:00,4.996667,1.1811111
2446,2023-09-19 22:00:00,4.7833333,0.8975
2446,2023-10-10 13:00:00,4.63375,0.89625
2446,2023-09-26 10:00:00,4.7025,0.97499996
2446,2023-09-27 22:00:00,4.7975,0.9
2446,2023-09-28 02:00:00,4.88,0.9825
2446,2023-09-21 11:00:00,4.5888886,0.87777776
2446,2023-10-05 04:00:00,4.8587503,0.8875
2446,2023-10-10 04:00:00,4.86,0.91999996
2446,2023-09-19 15:00:00,4.7214284,0.91
2446,2023-10-10 02:00:00,4.867,0.908
2446,2023-10-05 02:00:00,4.9271426,0.89285713
2446,2023-09-27 21:00:00,4.785,0.92499995
2446,2023-09-28 10:00:00,4.602,0.927
2446,2023-09-19 11:00:00,4.911667,1.1283333
2446,2023-09-26 12:00:00,4.6175,0.8825
2446,2023-10-10 10:00:00,4.805,1.06625
2446,2023-10-02 05:00:00,4.8125,0.92875
2446,2023-09-26 14:00:00,4.613333,0.8922222
2446,2023-09-26 09:00:00,5.174546,1.1527272
2446,2023-10-02 10:00:00,5.08,1.3859999
2446,2023-09-19 10:00:00,4.7174997,0.9
2446,2023-09-19 06:00:00,4.8033333,0.9633333
2446,2023-10-03 05:00:00,4.9744444,1.18
2446,2023-10-11 00:00:00,5.177143,1.2928572
2446,2023-09-21 08:00:00,4.74,0.94
2446,2023-10-04 19:00:00,4.85625,0.92125
2446,2023-09-19 18:00:00,4.74,0.89199996
2446,2023-09-28 09:00:00,4.73625,0.89374995
